City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,salalah,17.0151,54.0924,26.05,53,0,2.06,OM,1675783655
172,kahului,20.8947,-156.47,23.8,83,0,5.81,US,1675783656
173,lima,-12.0432,-77.0282,25.14,69,0,6.17,PE,1675783556
174,codrington,-38.2667,141.9667,13.11,84,41,4.05,AU,1675783657
175,ambilobe,-13.2,49.05,24.09,93,100,1.55,MG,1675783657
176,upernavik,72.7868,-56.1549,-25.32,93,100,3.29,GL,1675783658
177,nome,64.5011,-165.4064,-20.47,91,0,0.0,US,1675783659
178,clyde river,70.4692,-68.5914,-33.87,75,40,1.03,CA,1675783419
179,burnie,-41.0667,145.9167,13.3,76,14,4.06,AU,1675783660
180,verkhnevilyuysk,63.4453,120.3167,-39.48,100,99,1.0,RU,1675783661
181,masvingo,-20.0637,30.8277,24.92,46,82,3.16,ZW,1675783661
182,aykhal,66.0,111.5,-38.19,100,98,1.63,RU,1675783662
183,manta,-0.95,-80.7333,27.88,74,40,3.09,EC,1675783567
184,thompson,55.7435,-97.8558,-25.71,97,81,0.82,CA,1675783423
185,makakilo city,21.3469,-158.0858,23.18,76,0,8.23,US,1675783663
186,nelson bay,-32.7167,152.15,22.78,81,3,4.47,AU,1675783664
187,roma,43.2128,-75.4557,-0.63,58,0,4.63,US,1675783444
188,ahipara,-35.1667,173.1667,18.17,75,95,1.89,NZ,1675783664
189,odweyne,9.4092,45.064,26.34,33,85,4.39,SO,1675783665
190,tagusao,9.1924,117.8141,25.59,84,96,2.15,PH,1675783665
191,tuatapere,-46.1333,167.6833,10.94,74,79,3.63,NZ,1675783666
192,butaritari,3.0707,172.7902,27.18,79,100,9.95,KI,1675783666
193,juneau,58.3019,-134.4197,2.34,91,75,4.12,US,1675783603
194,zheleznodorozhnyy,55.7503,38.0042,-4.9,98,30,1.18,RU,1675783667
195,longyearbyen,78.2186,15.6401,-5.09,86,100,14.92,SJ,1675783668
196,umm kaddadah,13.6017,26.6876,27.31,13,13,9.66,SD,1675783668
197,sabha,27.0377,14.4283,19.37,25,95,5.05,LY,1675783668
198,komsomolskiy,40.4272,71.7189,4.4,81,6,2.06,UZ,1675783669
199,lixourion,38.2019,20.4314,7.19,52,100,4.63,GR,1675783669
200,lamu,-2.2717,40.902,28.12,79,29,6.64,KE,1675783670
201,carnarvon,-24.8667,113.6333,24.88,73,2,10.0,AU,1675783670
202,abu zabad,12.35,29.25,30.03,10,6,7.93,SD,1675783671
203,yeppoon,-23.1333,150.7333,23.88,68,7,8.63,AU,1675783671
204,redlands,34.0556,-117.1825,12.51,44,2,0.45,US,1675783566
205,isangel,-19.55,169.2667,25.89,84,100,1.25,VU,1675783672
